net,length_um
_1489_,28.52µm
_0900_,28.46µm
_1661_,28.46µm
_0362_,28.42µm
_1950_,28.4µm
_0873_,28.38µm
net91,28.36µm
_2064_,28.33µm
_0682_,28.315µm
_0647_,28.305µm
_1610_,28.28µm
_0389_,28.24µm
_0548_,28.2µm
_0287_,28.06µm
_0437_,28.04µm
_0482_,28.04µm
_2408_,28.02µm
_1700_,27.98µm
net742,27.98µm
_1612_,27.96µm
result[20],27.91µm
net365,27.84µm
_0826_,27.82µm
_0466_,27.8µm
net304,27.76µm
_3068_,27.72µm
_1309_,27.7µm
_0522_,27.66µm
_1565_,27.64µm
_2037_,27.64µm
_1408_,27.6µm
_2185_,27.6µm
_1563_,27.5µm
_1983_,27.5µm
_1158_,27.48µm
_2527_,27.42µm
_0584_,27.305µm
_3425_,27.29µm
_0691_,27.28µm
_3154_,27.24µm
_1945_,27.15µm
_1669_,27.14µm
_2024_,27.14µm
_0384_,27.06µm
net690,27.06µm
net322,27.02µm
_0516_,26.94µm
A[5],26.93µm
_1899_,26.92µm
_0183_,26.88µm
_0463_,26.86µm
_0780_,26.84µm
_0388_,26.78µm
net261,26.78µm
_0518_,26.76µm
_2806_,26.76µm
_0355_,26.74µm
_3084_,26.74µm
_0986_,26.695µm
net688,26.65µm
_1447_,26.635µm
_0089_,26.62µm
_2508_,26.54µm
_2611_,26.5µm
_1398_,26.44µm
net70,26.42µm
_2824_,26.38µm
_0540_,26.36µm
_1893_,26.34µm
_0465_,26.32µm
_0533_,26.32µm
_3392_,26.32µm
_0428_,26.29µm
_1128_,26.28µm
_1369_,26.28µm
net695,26.24µm
_2629_,26.22µm
_1334_,26.17µm
_0563_,26.14µm
result[29],26.12µm
_0172_,26.04µm
_2025_,26.02µm
_2582_,25.96µm
_0582_,25.94µm
_2694_,25.88µm
net65,25.88µm
_3236_,25.86µm
_2881_,25.85µm
_3094_,25.83µm
_2415_,25.8µm
_1940_,25.78µm
_1373_,25.74µm
_1411_,25.7µm
_0203_,25.68µm
_0713_,25.66µm
_0591_,25.65µm
_3178_,25.64µm
_3274_,25.64µm
_2530_,25.605µm
_0816_,25.6µm
_1452_,25.6µm
_1070_,25.58µm
net184,25.58µm
_0302_,25.56µm
_1476_,25.48µm
B[4],25.47µm
_1478_,25.41µm
_1192_,25.38µm
_0468_,25.34µm
_0726_,25.34µm
net727,25.34µm
_2789_,25.3µm
_2643_,25.28µm
_2706_,25.26µm
_0920_,25.24µm
_0534_,25.22µm
_2051_,25.18µm
_3125_,25.14µm
_0135_,25.125µm
_2060_,25.12µm
B[20],25.11µm
_1511_,25.06µm
_2047_,25.06µm
_1686_,25.04µm
_2292_,25µm
_1351_,24.94µm
_1634_,24.94µm
_1999_,24.94µm
_3389_,24.92µm
_2543_,24.9µm
_0680_,24.895µm
_1390_,24.84µm
net686,24.84µm
_0729_,24.8µm
_3095_,24.8µm
_1619_,24.76µm
_1010_,24.75µm
_0462_,24.72µm
_0577_,24.72µm
result[27],24.7µm
_3421_,24.68µm
_2723_,24.67µm
_2133_,24.64µm
_2150_,24.64µm
_2791_,24.64µm
_0145_,24.62µm
_2210_,24.56µm
_1132_,24.53µm
_0419_,24.5µm
_0303_,24.48µm
_1459_,24.48µm
_1600_,24.44µm
net220,24.44µm
_0288_,24.43µm
net24,24.38µm
_0712_,24.34µm
_1011_,24.3µm
_1400_,24.26µm
_0197_,24.22µm
_0559_,24.22µm
_2351_,24.22µm
net371,24.18µm
_2202_,24.16µm
net553,24.16µm
_3310_,24.14µm
_2454_,24.12µm
_0074_,24.1µm
_0705_,24.1µm
_1441_,24.1µm
_2929_,24.1µm
_2473_,24.06µm
_1494_,24.04µm
_3106_,24.04µm
net752,24.02µm
_3218_,24µm
_0790_,23.96µm
_0527_,23.9µm
_1086_,23.9µm
_0697_,23.88µm
_3244_,23.855µm
_1143_,23.84µm
_1429_,23.8µm
_3110_,23.8µm
_3192_,23.78µm
_2655_,23.765µm
net67,23.7µm
_1423_,23.66µm
_1680_,23.62µm
_1176_,23.6µm
_0799_,23.58µm
net729,23.58µm
_1108_,23.54µm
